Peak Number,Peak Range (cm⁻¹),Type of Vibration,Average Peak Wavenumber (cm⁻¹),Relative Height in PO (0.0% CO),Relative Height in 1C:2P (33.3% CO),Relative Height in 2C:1P (66.8% CO),Relative Height in CO (100.0% CO),Pearson Coefficient,p-value,Significant? (p < 5%),Trend
1,650-800,C-H Rocking,722.61368325,0.6268260253863325,0.7523037753654543,0.7381055289050986,0.39802171252539814,-0.5513923561593326,0.4486076438406674,False,Trend not significant
2,1100-1250,Ester C-O Stretch,1165.054827,0.9479584615027308,0.9898279310943291,0.9892766266589761,0.7432048965773524,-0.6724390589294715,0.32756094107052847,False,Trend not significant
3,1400-1500,Alkane C-H Bend,1465.72191475,0.8906040372106345,0.9520468837855085,0.9468531964436816,0.6089633821857772,-0.6731541539169047,0.3268458460830952,False,Trend not significant
4,1700-1800,Carbonyl C=O Stretch,1750.234476,0.992934017853728,1.001702092635726,0.9982906596911187,0.9395099476560824,-0.7206745094607696,0.2793254905392304,False,Trend not significant
5,2800-2880,Alkane C-H Stretch,2858.86901525,0.9908588420522749,1.0000305317098177,0.9991746442381799,0.9217816079716258,-0.7120973135289455,0.28790268647105455,False,Trend not significant
6,2900-3050,Alkene C-H Stretch,2929.03270625,1.0,1.0,1.0,1.0,,,False,Trend not significant
