Wavenumber,Percent Transmittance
399.282035,110.175727
400.246484,111.085853
401.210934,104.482862
402.175383,95.371211
403.139832,92.360362
404.104282,97.324986
405.068731,101.250629
406.033181,94.272551
406.997630,88.907752
407.962079,90.215489
408.926529,91.956551
409.890978,88.762926
410.855427,86.792744
411.819877,91.817667
412.784326,96.749868
413.748775,97.427072
414.713225,96.359706
415.677674,95.699769
416.642124,94.026027
417.606573,90.652496
418.571022,73.287885
419.535472,68.630852
420.499921,82.27428
421.464370,90.442667
422.428820,87.822891
423.393269,88.300559
424.357718,92.987222
425.322168,91.255083
426.286617,92.567071
427.251066,93.483867
428.215516,90.223466
429.179965,87.759404
430.144415,85.57065
431.108864,86.749752
432.073313,90.810064
433.037763,90.932645
434.002212,87.344851
434.966661,89.230891
435.931111,93.953893
436.895560,94.304869
437.860009,95.651409
438.824459,96.978533
439.788908,93.734571
440.753358,91.500721
441.717807,90.122395
442.682256,88.549975
443.646706,89.553498
444.611155,91.166041
445.575604,90.553144
446.540054,89.110425
447.504503,90.353589
448.468952,92.409748
449.433402,91.237379
450.397851,90.919392
451.362300,89.872875
452.326750,89.57815
453.291199,88.933372
454.255649,88.342394
455.220098,88.610872
456.184547,88.536326
457.148997,86.542036
458.113446,86.331608
459.077895,87.588007
460.042345,87.35041
461.006794,87.740668
461.971243,89.883404
462.935693,90.264486
463.900142,89.56856
464.864592,89.654355
465.829041,90.311199
466.793490,89.811196
467.757940,89.602214
468.722389,89.563499
469.686838,90.183334
470.651288,89.981885
471.615737,89.396265
472.580186,88.933014
473.544636,91.284019
474.509085,92.16757
475.473534,91.624054
476.437984,91.515487
477.402433,92.589319
478.366883,92.986973
479.331332,92.844977
480.295781,92.86066
481.260231,93.374645
482.224680,94.541676
483.189129,94.029297
484.153579,93.873406
485.118028,95.179332
486.082477,95.356081
487.046927,95.475556
488.011376,95.455455
488.975826,94.484726
489.940275,94.887368
490.904724,95.956878
491.869174,95.540995
492.833623,95.515317
493.798072,95.832042
494.762522,96.139707
495.726971,97.296722
496.691420,97.536689
497.655870,96.414797
498.620319,96.093909
499.584768,96.685353
500.549218,97.698686
501.513667,97.168351
502.478117,96.647985
503.442566,96.337217
504.407015,96.088487
505.371465,95.827865
506.335914,95.636512
507.300363,95.689251
508.264813,95.853346
509.229262,96.253227
510.193711,97.37937
511.158161,98.034062
512.122610,97.603473
513.087060,97.034238
514.051509,96.619063
515.015958,96.596693
515.980408,97.203372
516.944857,96.387254
517.909306,96.045277
518.873756,96.149042
519.838205,97.144519
520.802654,97.60525
521.767104,98.062172
522.731553,98.282739
523.696002,97.908477
524.660452,97.381413
525.624901,96.365859
526.589351,96.150877
527.553800,96.064676
528.518249,96.600818
